FEATURE_ID	FEATURE_NAME	FEATURE_CLASS	STATE_ALPHA	STATE_NUMERIC	COUNTY_NAME	COUNTY_NUMERIC	PRIMARY_LAT_DMS	PRIM_LONG_DMS	PRIM_LAT_DEC	PRIM_LONG_DEC	SOURCE_LAT_DMS	SOURCE_LONG_DMS	SOURCE_LAT_DEC	SOURCE_LONG_DEC	ELEV_IN_M	ELEV_IN_FT	MAP_NAME	DATE_CREATED	DATE_EDITED
390435	Silver Creek Work Center	Locale	ID	16	Valley	85	442136N	1154643W	44.3598969	-115.7787297			NA	NA	1419	4655	Boiling Springs	6/21/1979	
869461	Red Brook	Stream	NH	33	Sullivan	19	430752N	0720146W	43.1311897	-72.0295271	430808N	0720242W	43.1355556	-72.045	322	1056	Washington	8/27/1980	
155754	Forest Park	Populated Place	AL	1	Coffee	31	311948N	0854943W	31.3298929	-85.8285489			NA	NA	93	305	Enterprise	7/1/1990	
797373	Claribell Number 2 Dam	Dam	MT	30	Garfield	33	471018N	1065056W	47.1716657	-106.8489495			NA	NA	854	2802	Kirby Ranch	1/1/1994	
602484	Saint Hyacinths Seminary and College	School	MA	25	Hampshire	15	421609N	0722826W	42.2692585	-72.473975			NA	NA	85	279	Belchertown	8/27/2002	
78464	Stone Dam Creek	Stream	AR	5	Faulkner	45	350304N	0922504W	35.0511973	-92.417656	350529N	0922707W	35.0913889	-92.4519444	80	262	Conway	4/30/1980	
848178	Quartz Mountain (historical)	Populated Place	NV	32	Nye	23	371738N	1164401W	37.2938268	-116.7336767			NA	NA	1791	5876	Black Mountain	1/1/1991	
674281	Mount Tabor Church	Church	MS	28	Washington	151	332920N	0910521W	33.4890033	-91.0892746			NA	NA	40	131	Greenville	9/24/1980	
264245	North Wallace Canyon	Valley	CA	6	Placer	61	385902N	1203142W	38.9837932	-120.5282567	390115N	1202833W	39.0207383	-120.4757553	1416	4646	Devil Peak	1/19/1981	
307079	Osceola Ranger Office	Locale	FL	12	Baker	3	301212N	0822545W	30.2032894	-82.4292855			NA	NA	49	161	Olustee	12/1/1991	
415136	Opdyke School	School	IL	17	Grundy	63	412006N	0882609W	41.3350321	-88.4359008			NA	NA	158	518	Morris	1/15/1980	
865882	Burton Pond	Lake	NH	33	Hillsborough	11	425219N	0714852W	42.8720757	-71.8145231			NA	NA	261	856	Greenville	8/27/1980	6/23/2011
378167	Boyle Creek	Stream	ID	16	Butte	23	433935N	1132043W	43.6596244	-113.3452866	434100N	1132126W	43.6833333	-113.3572222	1637	5371	Arco North	6/21/1979	
986455	Harris Point	Cape	NC	37	Beaufort	13	352458N	0763521W	35.4159997	-76.5890954			NA	NA	0	0	Pamlico Beach	6/17/1980	
875152	Camp Osborne	Populated Place	NJ	34	Ocean	29	400030N	0740331W	40.0084508	-74.0587475			NA	NA	2	7	Point Pleasant	9/8/1979	
83908	Peytonville Post Office (historical)	Post Office	AR	5	Little River	81	Unknown	Unknown	0	0			NA	NA	NA	NA	Unknown	12/1/1991	
577141	Toby Pond	Lake	ME	23	Somerset	25	452827N	0701825W	45.4742001	-70.3068561			NA	NA	336	1102	Spencer Lake	9/30/1980	6/21/2011
737680	Cedar School (historical)	School	MO	29	Jefferson	99	382756N	0903423W	38.4656097	-90.5731805			NA	NA	229	751	House Springs	3/1/1991	
123976	Norrell Sink	Basin	AL	1	Marshall	95	342442N	0863126W	34.4117595	-86.5238785			NA	NA	272	892	Newsome Sinks	9/4/1980	
674679	New Hope Baptist Church	Church	MS	28	Greene	41	311010N	0883350W	31.1693482	-88.5639108			NA	NA	53	174	Leakesville	9/24/1980	2/8/2007
208364	Lakeview Cemetery	Cemetery	CT	9	Fairfield	1	411144N	0731023W	41.1956524	-73.173167			NA	NA	9	30	Bridgeport	9/12/1979	
918404	Water Canyon	Valley	NM	35	Los Alamos	28	354707N	1061219W	35.7853044	-106.2053034	355137N	1062345W	35.8603018	-106.3958634	1688	5538	White Rock	11/13/1980	
343441	First Presbyterian Church	Church	GA	13	Sumter	261	320417N	0841403W	32.0712751	-84.2340765			NA	NA	128	420	Americus	3/1/1994	
82731	Gourd Neck School (historical)	School	AR	5	Jackson	67	352258N	0910900W	35.382862	-91.1501237			NA	NA	64	210	Tupelo	6/1/1994	
636265	Roulo	Populated Place	MI	26	Wayne	163	421124N	0832900W	42.1900401	-83.4832686			NA	NA	206	676	Belleville	4/14/1980	
782203	Deep Creek	Stream	MT	30	Cascade	13	470623N	1111627W	47.1063416	-111.2741232	470317N	1110956W	47.054677	-111.1655082	1140	3740	Millegan	4/4/1980	
533695	Canal Number Six	Canal	LA	22	Vermilion	113	295626N	0923318W	29.9404879	-92.5551377			NA	NA	0	0	Latanier Bayou	6/4/1980	
