"","FEATURE_ID","FEATURE_NAME","FEATURE_CLASS","STATE_ALPHA","COUNTY_NAME","lat","long","ELEV_IN_M","ELEV_IN_FT","classID","ID","percentM","percentF","Group"
"322716",362684,"Noguchi Tunnel","Tunnel","HI","Hawaii",19.2744444,-155.5002778,1173,3848,44,362684,27.9742050255726,27.9720753693914,1
"270189",308842,"WKGC-AM (Panama City Beach)","Tower","FL","Bay",30.1760357,-85.8007655,2,7,46,308842,1.9346230820547,1.93845736749356,1
"579151",640496,"Broken Arrow Slough","Gut","MN","Houston",43.7863559,-91.2623584,192,630,52,640496,6.15966199688681,6.16104107360716,2
"59122",66268,"Blythes Museum","Building","AR","Scott",34.913432,-94.0940967,207,679,28,66268,6.49321770068935,6.4931543988071,1
"491308",551331,"Our Lady of La Salete Catholic Church","Church","LA","Calcasieu",30.2446496,-93.3846006,4,13,38,551331,1.97909717589504,1.97912430527315,1
"507268",567859,"Heald Pond","Lake","ME","Somerset",45.3622589,-70.2441513,404,1325,18,567859,10.8739159439626,10.8716280330758,1
"851861",926354,"11231 Water Well","Well","NM","Roosevelt",33.8942563,-103.2135602,1280,4199,14,926354,30.3535690460307,30.3510912294971,2
"388307",436814,"Indianola Park","Park","IN","Marion",39.7667101,-86.1935988,214,702,3,436814,6.64887702913053,6.64904432696218,1
"573104",634441,"Partridge Lake","Lake","MI","Keweenaw",47.419817,-88.0078351,304,997,18,634441,8.65021125194574,8.64850210112512,2
"178531",216172,"Owens","Populated Place","DE","Sussex",38.8056691,-75.5260352,16,52,15,216172,2.24594173893707,2.24345940084045,1
"655350",726778,"South Platte Church","Church","MO","Platte",39.228058,-94.7341266,298,978,38,726778,8.51678897042473,8.5197234648231,2
"925008",1003835,"Saint Paul Church","Church","NC","Lenoir",35.2482192,-77.5763572,9,30,38,1003835,2.09028241049589,2.09434729564864,2
"293969",333114,"Star Point","Populated Place","GA","Carroll",33.45678,-85.0841102,328,1076,15,333114,9.1839003780298,9.18395011522299,1
"417840",466562,"Macedonia Post Office (historical)","Post Office","IA","Pottawattamie",41.1941614,-95.4419447,330,1083,57,466562,9.22837447187014,9.23139487596584,1
"799582",873387,"Concord Hospital Heliport","Airport","NH","Merrimack",43.1981365,-71.5622945,118,387,53,873387,4.51412052479431,4.51403009353396,2
"701510",774290,"Mission H Canal","Canal","MT","Sanders",47.3432634,-114.279285,792,2598,8,774290,19.5018901489882,19.4997966653111,2
"214548",252430,"Park Canyon","Valley","CA","Ventura",34.7094271,-119.2073328,1367,4485,2,252430,32.2881921280854,32.2895485969906,1
"374886",423126,"Rockdale Junction","Populated Place","IL","Will",41.5641974,-88.106727,186,610,15,423126,6.0262397153658,6.02548461434187,1
"376931",425243,"Newbold Cemetery","Cemetery","IL","Johnson",37.5775504,-88.813674,172,564,26,425243,5.71492105848343,5.71370475803172,1
"723809",796875,"Black Coulee Reservoir Dam","Dam","MT","Rosebud",46.4033288,-106.6722595,818,2684,22,796875,20.0800533689126,20.0826894401518,2
"561828",623158,"Cherry Grove School","School","MI","Cass",41.9628237,-86.0783435,254,833,7,623158,7.53835890593729,7.53693913514979,2
"745317",818558,"12N18W12BABB01 Well","Well","MT","Missoula",46.8210374,-113.8087119,1013,3323,14,818558,24.4162775183456,24.4137183136776,2
"564488",625819,"False Presque Isle","Island","MI","Presque Isle",45.2641818,-83.3991434,186,610,36,625819,6.0262397153658,6.02548461434187,2
"785337",858980,"Boulder Basin","Basin","NV","Elko",41.973791,-115.9364823,1905,6250,12,858980,44.2517233711363,44.252406127152,2
"440498",489434,"Chestnut Grove Cemetery","Cemetery","KY","Hart",37.318943,-85.8935805,299,981,26,489434,8.5390260173449,8.54005693371289,1
"179743",217409,"Terrapin Pond","Stream","DE","Sussex",38.5192817,-75.4529754,10,33,1,217409,2.11251945741606,2.11468076453843,1
"807699",881594,"Washington Elementary School","School","NJ","Essex",40.8531551,-74.2770923,97,318,7,881594,4.04714253947076,4.04636030906873,2
